Tick PD1 PD2 PD3
0391 198 199 199
0392 198 199 199
0393 198 199 196
0394 198 199 188
0395 198 199 177
0396 198 199 161
0397 198 198 140
0398 198 199 117
0399 198 199 096
0400 198 199 078
0401 198 199 066
0402 198 198 061
0403 198 198 061
0404 198 199 067
0405 198 199 075
0406 198 199 084
0407 198 199 091
0408 198 199 096
0409 198 199 100
0410 198 198 101
0411 198 199 100
0412 198 199 097
0413 198 199 092
0414 198 199 085
0415 198 199 076
0416 198 199 065
0417 198 199 053
0418 198 199 040
0419 198 199 028
0420 198 199 018
0421 198 199 011
0422 198 199 006
0423 198 199 003
0424 198 199 002
0425 198 199 001
0426 198 199 001
0427 198 199 001
0428 198 199 001
0429 198 199 002
0430 198 199 004
0431 198 199 009
0432 198 199 018
0433 198 198 029
0434 198 199 043
0435 198 198 056
0436 198 195 070
0437 198 185 082
0438 198 173 090
0439 198 158 096
0440 198 142 099
0441 198 124 100
0442 198 105 099
0443 198 088 095
0444 198 070 090
0445 198 054 083
0446 198 040 073
0447 198 028 062
0448 198 020 049
0449 198 013 037
0450 198 008 025
0451 198 005 016
0452 197 002 010
0453 191 001 005
0454 183 000 002
0455 174 000 001
0456 161 000 000
0457 146 000 000
0458 132 000 000
0459 117 000 001
0460 100 000 001
0461 082 000 004
0462 066 000 009
0463 053 000 018
0464 041 000 030
0465 031 000 044
0466 022 000 058
0467 014 000 070
0468 009 000 081
0469 005 000 088
0470 003 000 093
0471 001 000 096
0472 000 000 097
0473 000 000 096
0474 000 000 093
0475 000 000 089
0476 000 000 082
0477 000 000 072
0478 000 000 060
0479 000 000 047
0480 000 000 035
0481 000 000 023
0482 000 000 015
0483 000 000 009
0484 000 000 004
0485 000 001 002
0486 000 002 001
0487 000 003 000
0488 000 005 000
0489 000 009 000
0490 000 016 000
0491 000 025 001
0492 000 036 003
0493 000 049 007
0494 000 064 014
0495 000 083 024
0496 000 103 036
0497 000 124 051
0498 000 144 067
0499 000 160 081
0500 000 174 091
0501 000 184 099
0502 000 194 106
0503 000 198 115
0504 000 198 126
0505 000 198 140
0506 000 198 156
0507 000 198 173
0508 000 198 190
0509 000 198 199
0510 000 198 199
0511 000 197 198
0512 000 198 198
0513 000 198 199
0514 000 198 199
0515 000 198 199
0516 000 198 199
0517 000 198 199
0518 000 198 199
0519 000 198 199
0520 000 198 198
0521 000 198 198
0522 000 198 199
0523 000 198 199
0524 000 198 198
0525 000 198 199
0526 000 198 199
0527 000 198 199
0528 000 198 199
0529 000 198 199
0530 000 198 199
0531 000 198 199
0532 000 198 199
0533 000 198 199
0534 000 198 198
0535 000 188 199
0536 001 176 199
0537 001 160 198
0538 001 144 198
0539 001 128 198
0540 002 112 198
0541 002 096 198
0542 003 080 198
0543 004 064 198
0544 005 049 198
0545 006 037 198
0546 009 027 198
0547 012 019 198
0548 017 012 198
0549 024 007 196
0550 032 004 184
0551 042 002 169
0552 056 000 149
0553 070 000 122
0554 084 000 095
0555 099 000 071
0556 115 000 055
0557 130 000 049
0558 145 000 050
0559 160 000 058
0560 174 000 068
0561 185 000 078
0562 194 000 085
0563 198 000 089
0564 198 000 092
0565 198 000 093
0566 198 000 092
0567 198 000 090
0568 198 000 087
0569 198 000 082
0570 198 000 075
0571 198 000 066
0572 198 000 056
0573 198 000 044
0574 198 000 033
0575 198 000 023
0576 198 000 015
0577 198 000 009
0578 198 000 004
0579 198 000 001
0580 198 000 000
0581 198 000 000
0582 198 000 000
0583 198 000 000
0584 198 000 000
0585 198 000 002
0586 198 000 006
0587 198 000 014
0588 198 000 025
0589 192 000 038
0590 182 000 052
0591 170 000 065
0592 157 000 076
0593 142 000 084
0594 126 000 089
0595 110 000 093
0596 094 000 094
0597 078 000 094
0598 063 000 092
0599 051 000 089
0600 041 000 083
0601 032 000 075
0602 025 000 065
0603 019 000 053
0604 014 000 041
0605 011 000 029
0606 008 000 019
0607 007 000 012
0608 005 000 007
0609 004 000 003
0610 003 000 001
0611 002 000 000
0612 002 000 000
0613 001 000 000
0614 001 000 000
0615 001 000 001
0616 000 000 004
0617 000 000 009
0618 000 000 019
0619 000 000 032
0620 000 000 047
0621 000 000 061
0622 000 000 072
0623 000 000 081
0624 000 000 087
0625 000 000 091
0626 000 000 093
0627 000 000 093
0628 000 000 092
0629 000 000 089
0630 000 000 084
0631 000 001 077
0632 000 002 068
0633 000 004 058
0634 000 005 047
0635 000 008 036
0636 000 013 025
0637 000 021 016
0638 000 032 008
0639 000 046 004
0640 000 064 001
0641 000 083 001
0642 000 102 000
0643 000 122 000
0644 000 141 001
0645 000 159 001
0646 000 174 003
0647 000 187 009
0648 000 198 019
0649 000 198 032
0650 000 198 048
0651 000 198 063
0652 000 198 075
0653 000 198 086
0654 000 198 093
0655 000 198 101
0656 000 198 111
0657 000 198 123
0658 000 198 137
0659 000 198 154
0660 000 198 171
0661 000 198 187
0662 000 198 199
0663 000 198 198
0664 000 198 199
0665 000 198 199
0666 000 198 199
0667 000 198 199
0668 000 198 199
0669 000 198 198
0670 001 198 198
0671 001 198 198
0672 001 198 198
0673 002 198 198
0674 002 198 198
0675 003 198 198
0676 003 198 199
0677 004 198 199
0678 005 198 199
0679 007 198 199
0680 009 195 199
0681 013 183 199
0682 018 167 198
0683 024 148 198
0684 032 128 198
0685 042 107 198
0686 055 086 198
0687 068 068 198
0688 082 054 198
0689 096 042 198
0690 111 030 197
0691 127 021 197
0692 142 014 198
0693 156 010 198
0694 168 006 198
0695 178 004 197
0696 188 003 198
0697 196 002 198
0698 198 001 198
0699 198 000 197
0700 198 000 198
0701 198 000 198
0702 198 000 192
0703 198 000 178
0704 198 000 159
0705 198 000 136
0706 198 000 111
0707 198 000 087
0708 198 000 071
0709 198 000 063
0710 198 000 063
0711 198 000 067
0712 198 000 074
0713 198 000 081
0714 198 000 086
0715 198 000 089
0716 198 000 090
0717 198 000 091
0718 198 000 090
0719 198 000 088
0720 198 000 085
0721 198 000 079
0722 198 000 070
0723 198 000 058
0724 192 000 044
0725 183 000 031
0726 173 000 020
0727 160 000 011
0728 145 000 006
0729 130 000 002
0730 114 000 001
0731 098 000 000
0732 081 000 000
0733 067 000 000
0734 054 000 000
0735 043 000 000
0736 033 000 001
0737 025 000 006
0738 019 000 015
0739 013 000 029
0740 010 000 044
0741 008 000 059
0742 006 000 072
0743 005 000 082
0744 004 000 089
0745 003 000 093
0746 002 000 095
0747 002 000 094
0748 001 000 091
0749 001 000 087
0750 001 000 082
0751 000 000 074
0752 000 000 064
0753 000 000 053
0754 000 000 041
0755 000 000 030
0756 000 000 020
0757 000 000 013
0758 000 000 008
0759 000 000 004
0760 000 000 002
0761 000 000 000
0762 000 000 000
0763 000 000 000
0764 000 000 000
0765 000 000 000
0766 000 000 003
0767 000 000 009
0768 000 000 018
0769 000 000 031
0770 000 000 045
0771 000 000 059
0772 000 000 071
0773 000 000 081
0774 000 000 088
0775 000 000 092
0776 000 001 094
0777 000 002 095
0778 000 005 094
0779 000 011 091
0780 000 019 086
0781 000 029 080
0782 000 043 072
0783 000 058 061
0784 000 074 049
0785 000 090 036
0786 000 107 026
0787 000 123 017
0788 000 139 010
0789 000 155 006
0790 000 169 003
0791 000 180 002
0792 000 189 001
0793 000 197 001
0794 000 198 001
0795 000 198 001
0796 000 198 003
0797 000 198 007
0798 000 198 015
0799 000 198 026
0800 000 198 039
0801 000 198 053
0802 000 198 067
0803 000 198 079
0804 001 198 090
0805 001 198 099
0806 001 198 107
0807 002 198 116
0808 002 198 128
0809 003 198 141
0810 003 198 158
0811 004 198 174
0812 006 198 189
0813 008 198 198
0814 010 198 199
0815 013 198 198
0816 017 198 199
0817 023 198 199
0818 029 198 199
0819 037 198 199
0820 047 198 198
0821 057 198 198
0822 068 198 198
0823 082 198 198
0824 099 198 198
0825 117 198 198
0826 132 198 199
0827 148 198 198
0828 163 198 198
0829 176 198 198
0830 187 198 198
0831 195 199 198
0832 198 199 198
0833 198 198 198
0834 198 199 198
0835 198 198 198
0836 198 199 198
0837 198 199 199
0838 198 199 198
0839 198 199 199
0840 198 199 198
0841 198 199 198
0842 198 199 199
0843 198 199 199
0844 198 199 199
0845 198 199 199
0846 198 199 199
0847 198 199 198
0848 198 199 198
0849 198 199 199
0850 198 198 199
0851 198 199 198
0852 198 198 197
0853 198 198 190
0854 198 198 181
0855 198 199 165
0856 198 199 143
0857 198 199 118
0858 194 198 093
0859 185 198 072
0860 174 198 059
0861 163 198 052
0862 149 198 052
0863 134 198 058
0864 119 198 068
0865 102 198 080
0866 084 198 090
0867 070 198 096
0868 057 198 100
0869 046 198 102
0870 036 198 101
0871 027 198 099
0872 020 188 095
0873 015 175 089
0874 011 159 081
0875 008 142 071
0876 006 125 059
0877 005 107 046
0878 004 089 034
0879 003 073 024
0880 003 058 016
0881 002 044 010
0882 002 033 006
0883 001 024 003
0884 001 016 001
0885 001 009 000
0886 000 004 000
0887 000 001 000
0888 000 000 000
0889 000 000 001
0890 000 000 003
0891 000 000 010
0892 000 000 020
0893 000 000 032
0894 000 000 047
0895 000 000 062
0896 000 000 076
0897 000 000 087
0898 000 000 095
0899 000 000 100
0900 000 000 102
0901 000 000 103
0902 000 000 102
0903 001 000 099
0904 003 000 094
0905 006 000 087
0906 010 000 079
0907 014 000 069
0908 020 000 059
0909 027 000 048
0910 035 000 037
0911 045 000 030
0912 056 000 028
0913 069 000 031
0914 082 000 040
0915 098 000 054
0916 115 000 077
0917 131 000 102
0918 146 000 128
0919 161 000 150
0920 172 000 169
0921 182 000 184
0922 189 000 198
0923 196 000 198
0924 198 000 198
0925 198 000 198
0926 198 000 198
0927 198 000 198
0928 198 000 198
0929 198 000 198
0930 199 000 198
0931 198 000 198
0932 198 000 198
0933 198 000 198
0934 199 000 198
0935 198 000 198
0936 198 000 198
0937 198 000 198
0938 198 000 198
0939 198 000 198
0940 198 000 198
0941 198 000 198
0942 198 000 198
0943 198 000 198
0944 198 000 198
0945 198 000 198
0946 199 000 198
0947 198 000 198
0948 199 000 198
0949 198 000 198
0950 198 000 198
0951 198 000 198
0952 198 000 198
0953 198 000 198
0954 199 000 198
0955 198 000 198
0956 198 000 198
0957 199 000 198
0958 198 000 198
0959 198 000 198
0960 198 000 198
0961 198 000 192
0962 198 000 172
0963 198 000 153
0964 198 000 136
0965 198 000 121
0966 198 000 108
0967 198 000 096
0968 198 000 085
0969 198 001 074
0970 198 002 061
0971 198 004 048
0972 198 009 034
0973 198 016 020
0974 198 027 011
0975 198 040 006
0976 198 054 002
0977 198 072 001
0978 198 090 001
0979 198 110 001
0980 198 131 001
0981 198 151 002
0982 198 168 005
0983 198 182 011
0984 198 192 021
0985 198 199 035
0986 198 199 050
0987 198 199 065
0988 198 199 078
0989 198 199 088
0990 195 199 094
0991 190 198 099
0992 183 199 101
0993 175 198 101
0994 166 198 100
0995 155 198 098
0996 142 198 093
0997 129 198 087
0998 115 198 079
0999 102 198 070
1000 089 198 059
1001 075 198 047
1002 062 198 036
1003 050 198 025
1004 039 198 016
1005 030 198 010
1006 022 198 005
1007 014 198 003
1008 008 198 002
1009 005 198 001
1010 002 198 001
1011 001 198 002
1012 000 198 003
1013 000 198 007
1014 000 198 016
1015 000 198 028
1016 000 198 043
1017 000 198 058
1018 000 198 072
1019 000 198 083
1020 000 198 091
1021 000 198 095
1022 000 198 098
1023 000 198 099
1024 000 198 099
1025 000 198 097
1026 000 198 094
1027 000 198 089
1028 000 198 081
1029 000 198 072
1030 000 198 061
1031 000 198 049
1032 000 198 038
1033 000 198 027
1034 000 198 018
1035 000 198 012
1036 000 198 007
1037 000 198 004
1038 000 198 002
1039 000 198 001
1040 000 198 001
1041 000 198 001
1042 000 198 002
1043 000 198 005
1044 000 198 013
1045 000 198 026
1046 000 198 043
1047 000 198 060
1048 000 198 074
1049 000 198 085
1050 000 198 090
1051 000 198 094
1052 000 198 095
1053 000 198 094
1054 000 198 092
1055 000 198 088
1056 000 198 081
1057 000 198 071
1058 000 198 059
1059 000 198 047
1060 000 198 038
1061 000 198 034
1062 000 198 036
1063 000 198 044
1064 000 198 057
1065 000 198 074
1066 000 198 094
1067 000 198 114
1068 000 198 134
1069 000 198 151
1070 000 198 165
1071 000 198 177
1072 000 198 188
1073 000 198 197
1074 000 198 198
1075 000 198 199
1076 000 198 199
1077 000 198 199
1078 000 198 199
1079 000 198 199
1080 000 198 199
1081 000 198 199
1082 001 198 198
1083 003 198 199
1084 005 198 199
1085 009 198 199
1086 014 198 199
1087 020 198 199
1088 027 198 198
1089 036 198 199
1090 047 198 199
1091 059 198 198
1092 072 198 199
1093 086 198 198
1094 101 198 199
1095 116 198 199
1096 130 198 196
1097 144 198 195
1098 158 198 194
1099 171 198 194
1100 181 198 193
1101 190 199 193
1102 196 199 194
1103 198 199 195
1104 198 199 198
1105 198 198 198
1106 198 199 199
1107 198 198 198
1108 198 199 198
1109 198 199 198
1110 198 190 199
1111 198 177 198
1112 198 160 198
1113 198 141 198
1114 198 120 198
1115 198 098 198
1116 198 077 198
1117 198 058 198
1118 198 043 198
1119 198 030 198
1120 198 020 198
1121 198 013 198
1122 198 007 198
1123 198 004 198
1124 198 001 198
1125 198 000 198
1126 198 000 195
1127 198 000 194
1128 198 000 194
1129 198 000 194
1130 198 000 194
1131 198 000 195
1132 198 000 196
1133 198 000 198
1134 198 000 198
1135 199 000 198
1136 198 000 198
1137 198 000 198
1138 198 000 198
1139 199 000 198
1140 199 000 198
1141 198 000 198
1142 198 000 198
1143 198 000 198
1144 198 000 198
1145 198 000 198
1146 198 000 198
1147 198 000 198
1148 198 000 198
1149 199 000 198
1150 198 000 198
1151 198 000 198
1152 199 000 198
1153 198 000 198
1154 198 000 198
1155 198 000 198
1156 198 000 198
1157 198 000 192
1158 198 000 185
1159 198 000 175
1160 198 000 162
1161 198 000 146
1162 198 000 127
1163 198 000 107
1164 198 000 088
1165 198 000 072
1166 198 000 062
1167 198 000 059
1168 198 000 062
1169 198 000 070
1170 198 000 081
1171 198 000 089
1172 198 000 095
1173 198 000 099
1174 198 000 100
1175 198 000 098
1176 198 000 095
1177 198 000 090
1178 198 000 083
1179 198 000 074
1180 198 000 063
1181 198 000 050
1182 198 000 037
1183 198 000 026
1184 198 000 016
1185 198 000 010
1186 198 000 005
1187 198 000 002
1188 198 000 001
1189 198 000 000
1190 198 000 000
1191 198 000 000
1192 198 000 000
1193 198 000 001
1194 198 000 003
1195 198 000 007
1196 198 000 013
1197 198 000 023
1198 198 000 035
1199 198 000 050
1200 198 000 065
1201 198 000 077
1202 198 000 087
1203 198 000 093
1204 198 000 097
1205 198 000 099
1206 198 001 099
1207 198 003 096
1208 198 006 092
1209 198 012 085
1210 198 019 076
1211 197 030 064
1212 193 043 051
1213 188 058 038
1214 181 075 026
1215 173 094 016
1216 164 114 010
1217 153 132 005
1218 140 148 002
1219 126 163 001
1220 112 176 001
1221 098 186 001
1222 084 194 001
1223 070 198 002
1224 058 198 002
1225 047 198 005
1226 037 198 009
1227 029 198 016
1228 020 198 025
1229 013 198 037
1230 008 198 053
1231 005 198 067
1232 003 198 079
1233 001 198 087
1234 000 198 092
1235 000 198 096
1236 000 198 097
1237 000 198 097
1238 000 198 095
1239 000 198 092
1240 000 198 085
1241 000 198 076
1242 000 198 065
1243 000 198 051
1244 000 198 038
1245 000 198 026
1246 000 198 016
1247 000 198 009
1248 000 198 004
1249 000 198 002
1250 000 198 001
1251 000 198 001
1252 000 198 001
1253 001 198 001
1254 001 198 002
1255 001 198 004
1256 002 198 008
1257 003 198 015
1258 004 198 025
1259 004 198 037
1260 006 198 049
1261 008 198 062
1262 010 198 073
1263 014 198 083
1264 019 198 091
1265 025 198 097
1266 033 198 102
1267 044 198 108
1268 057 198 116
1269 070 198 127
1270 085 198 141
1271 102 198 158
1272 118 198 176
1273 135 198 192
1274 150 198 199
1275 163 199 198
1276 175 198 198
1277 185 199 198
1278 193 198 199
1279 198 198 198
1280 198 199 199
1281 198 199 199
1282 198 199 198
1283 198 199 199
1284 198 198 199
1285 198 199 198
1286 198 199 198
1287 198 199 198
1288 198 199 199
1289 198 199 199
1290 198 199 199
1291 198 199 199
1292 198 199 198
1293 198 199 199
1294 198 198 198
1295 198 199 199
1296 198 199 199
1297 198 199 198
1298 198 199 199
1299 198 199 198
1300 198 199 199
1301 198 199 199
1302 195 199 198
1303 188 199 199
1304 179 198 198
1305 168 199 199
1306 156 198 198
1307 142 198 199
1308 127 198 199
1309 113 198 198
1310 098 198 199
1311 083 198 199
1312 069 198 198
1313 056 198 189
1314 045 198 177
1315 035 198 162
1316 026 198 143
1317 019 198 123
1318 014 198 101
1319 010 198 080
1320 007 198 064
1321 005 198 054
1322 004 198 050
1323 003 198 050
1324 003 198 054
1325 002 198 061
1326 002 198 070
1327 002 198 078
1328 001 198 085
1329 001 198 090
1330 001 198 092
1331 001 198 093
1332 001 198 092
1333 001 198 090
1334 001 198 086
1335 001 198 080
1336 001 198 071
1337 001 198 059
1338 001 198 046
1339 001 198 032
1340 001 198 020
1341 001 198 011
1342 001 198 006
1343 002 198 002
1344 002 198 001
1345 002 198 000
1346 002 198 000
1347 003 198 000
1348 004 198 001
1349 005 198 001
1350 006 198 003
1351 008 198 008
1352 012 198 017
1353 017 198 029
1354 023 198 043
1355 031 198 057
1356 040 198 070
1357 051 198 080
1358 063 198 087
1359 076 198 092
1360 091 198 095
1361 106 198 095
1362 121 198 093
1363 137 199 090
1364 151 198 085
1365 164 199 078
1366 175 199 069
1367 184 199 059
1368 192 199 047
1369 197 199 036
1370 198 199 026
1371 198 199 018
1372 198 199 011
1373 198 199 007
1374 198 199 004
1375 198 198 002
1376 198 198 001
1377 198 199 000
1378 198 199 000
1379 198 198 001
1380 198 199 002
1381 198 199 005
1382 198 199 012
1383 198 198 022
1384 198 199 036
1385 198 198 050
1386 198 199 063
1387 198 199 075
1388 198 199 083
1389 198 199 088
1390 198 199 092
1391 198 199 094
1392 198 199 094
1393 194 199 092
1394 187 199 089
1395 179 199 084
1396 170 199 077
1397 159 198 068
1398 147 198 058
1399 135 198 047
1400 123 198 036
1401 110 198 026
1402 094 198 018
1403 080 198 011
1404 065 198 005
1405 051 198 002
1406 039 198 001
1407 030 198 001
1408 022 198 000
1409 015 198 000
1410 010 198 001
1411 007 198 002
1412 005 198 006
1413 004 198 014
1414 002 198 026
1415 002 198 040
1416 001 198 055
1417 001 198 069
1418 000 198 080
1419 000 198 089
1420 000 198 096
1421 000 198 104
1422 000 198 114
1423 000 198 126
1424 000 198 141
1425 000 198 157
1426 000 198 173
1427 000 198 187
1428 000 198 198
1429 000 198 199
1430 000 198 198
1431 000 198 199
1432 000 198 199
1433 000 198 198
1434 000 198 199
1435 000 198 199
1436 000 198 199
1437 000 198 198
1438 000 198 199
1439 000 198 199
1440 001 198 199
1441 002 198 199
1442 003 198 199
1443 006 198 199
1444 009 198 199
1445 014 198 198
1446 021 198 199
1447 029 192 199
1448 039 183 199
1449 051 171 199
1450 064 158 198
1451 079 140 198
1452 096 121 198
1453 112 101 198
1454 127 084 198
1455 142 067 198
1456 156 051 198
1457 167 039 198
1458 177 029 198
1459 185 020 198
1460 192 013 198
1461 197 009 198
1462 198 005 197
1463 198 002 198
1464 198 000 198
1465 198 000 198
1466 198 000 198
1467 198 000 198
1468 198 000 188
1469 198 000 175
1470 198 000 159
1471 198 000 138
1472 198 000 114
1473 198 000 092
1474 198 000 074
1475 198 000 064
1476 198 000 062
1477 198 000 066
1478 198 000 072
1479 198 000 080
1480 198 000 085
1481 198 000 088
1482 198 000 090
1483 198 000 091
1484 198 000 090
1485 198 000 088
1486 198 000 085
1487 198 000 079
1488 198 000 071
1489 198 000 061
1490 198 000 049
1491 198 000 036
1492 198 000 025
1493 198 000 016
1494 198 001 009
1495 198 001 004
1496 198 002 001
1497 198 003 000
1498 198 005 000
1499 198 007 000
1500 198 012 000
1501 198 019 000
1502 197 031 001
1503 198 044 006
1504 198 058 014
1505 198 075 025
1506 198 094 038
1507 198 113 051
1508 198 132 064
1509 198 151 076
1510 198 166 085
1511 198 179 091
1512 198 189 094
1513 198 198 095
1514 198 198 094
1515 198 199 091
1516 198 199 087
1517 198 199 081
1518 198 199 072
1519 198 199 060
1520 198 199 047
1521 198 199 035
1522 198 198 023
1523 198 199 015
1524 198 199 008
1525 198 199 004
1526 198 198 002
1527 198 199 001
1528 198 199 001
1529 198 199 000
1530 198 199 000
1531 198 199 001
1532 198 199 003
1533 198 199 010
1534 198 198 019
1535 198 199 032
1536 198 198 046
1537 198 199 060
1538 198 199 072
1539 198 198 082
1540 198 199 088
1541 198 198 092
1542 198 198 095
1543 198 199 095
1544 198 194 094
1545 198 184 090
1546 198 172 085
1547 198 157 078
1548 198 140 069
1549 198 122 057
1550 198 103 045
1551 198 085 033
1552 198 069 023
1553 198 056 015
1554 198 044 009
1555 198 033 005
1556 198 025 002
1557 198 017 001
1558 198 011 000
1559 198 006 000
1560 198 004 000
1561 198 002 000
1562 197 001 002
1563 198 000 006
1564 198 000 014
1565 198 000 025
1566 198 000 039
1567 198 000 053
1568 198 000 067
1569 198 000 080
1570 198 000 091
1571 198 000 099
1572 198 000 108
1573 198 000 117
1574 198 000 129
1575 198 000 144
1576 198 000 159
1577 198 000 175
1578 198 000 189
1579 198 000 198
1580 198 000 198
1581 199 000 198
1582 198 000 198
1583 199 000 198
1584 199 000 198
1585 199 000 198
1586 198 000 198
1587 198 000 198
1588 198 000 198
1589 198 000 198
1590 198 000 198
1591 198 000 198
1592 198 000 198
1593 198 000 198
1594 198 000 198
1595 198 000 197
1596 198 000 198
1597 198 000 198
1598 198 000 198
1599 198 000 198
1600 198 000 198
1601 198 000 197
