Tick PD1 PD2 PD3
0050 175 198 198
0051 164 198 198
0052 153 198 198
0053 141 198 198
0054 128 198 198
0055 115 198 198
0056 101 198 198
0057 087 198 198
0058 073 198 198
0059 060 198 198
0060 047 198 198
0061 036 198 198
0062 026 198 198
0063 018 197 198
0064 012 198 198
0065 008 198 198
0066 006 198 198
0067 005 197 198
0068 004 198 198
0069 003 197 198
0070 003 198 198
0071 002 197 198
0072 002 198 198
0073 002 197 198
0074 002 198 198
0075 002 198 198
0076 001 197 198
0077 002 197 198
0078 002 197 198
0079 002 198 198
0080 002 197 198
0081 002 197 198
0082 002 198 198
0083 002 198 197
0084 002 198 190
0085 002 198 180
0086 002 198 168
0087 002 197 154
0088 002 198 138
0089 002 197 122
0090 002 198 102
0091 003 197 082
0092 003 197 067
0093 004 197 057
0094 005 198 052
0095 006 198 054
0096 008 198 063
0097 011 198 075
0098 015 198 086
0099 021 188 094
0100 030 175 099
0101 039 158 101
0102 051 138 102
0103 064 118 100
0104 079 097 098
0105 095 077 093
0106 111 059 086
0107 127 044 077
0108 143 032 067
0109 157 022 055
0110 170 015 043
0111 181 009 031
0112 190 005 021
0113 197 002 013
0114 197 001 007
0115 197 000 003
0116 197 000 001
0117 197 000 000
0118 197 000 000
0119 197 000 000
0120 198 000 000
0121 197 000 000
0122 198 000 002
0123 198 000 006
0124 198 000 015
0125 198 000 029
0126 198 000 046
0127 198 000 063
0128 198 000 078
0129 198 000 090
0130 198 000 097
0131 198 000 102
0132 198 000 104
0133 198 000 103
0134 198 000 100
0135 198 000 095
0136 198 000 088
0137 194 000 078
0138 186 000 066
0139 176 000 053
0140 165 000 041
0141 152 000 032
0142 138 000 028
0143 123 000 031
0144 108 000 039
0145 092 000 053
0146 077 000 071
0147 062 000 091
0148 050 000 113
0149 039 000 135
0150 031 000 155
0151 023 000 172
0152 017 000 186
0153 013 000 197
0154 009 000 197
0155 007 000 197
0156 006 000 198
0157 004 000 197
0158 003 000 197
0159 003 000 197
0160 002 000 197
0161 002 000 197
0162 001 000 197
0163 001 000 197
0164 001 000 197
0165 000 000 197
0166 000 000 197
0167 000 000 198
0168 000 000 197
0169 000 000 197
0170 000 000 197
0171 000 000 197
0172 000 000 197
0173 000 000 197
0174 000 000 198
0175 000 000 197
0176 000 000 197
0177 000 000 197
0178 000 000 197
0179 000 000 197
0180 000 000 197
0181 000 000 197
0182 000 000 197
0183 000 000 197
0184 000 000 197
0185 001 000 197
0186 002 000 197
0187 005 000 198
0188 008 000 197
0189 012 000 197
0190 018 000 197
0191 026 000 197
0192 035 000 197
0193 046 000 197
0194 059 000 192
0195 074 000 170
0196 089 001 150
0197 105 003 132
0198 121 006 116
0199 137 012 102
0200 153 021 090
0201 165 033 077
0202 177 048 064
0203 186 066 049
0204 193 084 034
0205 198 103 022
0206 198 121 013
0207 198 139 007
0208 198 156 004
0209 197 170 002
0210 197 182 002
0211 197 192 001
0212 197 198 001
0213 197 198 001
0214 198 198 002
0215 197 198 004
0216 198 198 008
0217 197 198 014
0218 197 198 024
0219 198 198 037
0220 198 198 052
0221 198 198 066
0222 198 198 079
0223 198 198 089
0224 198 198 096
0225 198 198 100
0226 198 198 102
0227 198 198 101
0228 198 198 099
0229 198 198 095
0230 198 198 089
0231 198 198 081
0232 198 198 070
0233 198 198 058
0234 198 198 045
0235 198 198 032
0236 198 198 022
0237 198 198 014
0238 198 198 008
0239 198 198 004
0240 198 198 003
0241 198 198 002
0242 198 198 001
0243 198 198 001
0244 197 198 001
0245 197 198 002
0246 197 198 003
0247 198 198 006
0248 198 198 012
0249 198 198 023
0250 198 198 037
0251 198 198 052
0252 198 198 067
0253 198 198 079
0254 198 198 088
0255 198 198 094
0256 198 198 098
0257 198 198 100
0258 198 198 100
0259 198 198 098
0260 198 198 095
0261 198 198 090
0262 198 199 081
0263 198 199 072
0264 198 198 059
0265 198 199 045
0266 198 198 033
0267 198 198 022
0268 198 199 014
0269 198 198 008
0270 198 199 004
0271 198 198 003
0272 198 199 002
0273 198 198 001
0274 198 198 001
0275 198 198 001
0276 198 199 002
0277 198 198 003
0278 198 198 005
0279 198 199 012
0280 198 199 022
0281 198 199 035
0282 198 198 050
0283 198 199 064
0284 198 198 076
0285 198 199 085
0286 198 198 091
0287 198 198 094
0288 198 199 095
0289 198 199 095
0290 198 199 093
0291 198 198 090
0292 198 199 085
0293 198 199 077
0294 198 199 068
0295 198 198 056
0296 198 199 045
0297 198 199 037
0298 198 198 034
0299 198 199 037
0300 198 199 046
0301 198 198 059
0302 198 199 077
0303 198 198 098
0304 198 198 121
0305 198 199 145
0306 198 199 165
0307 198 199 181
0308 198 199 195
0309 198 199 198
0310 198 198 198
0311 198 199 198
0312 198 199 198
0313 198 199 198
0314 198 198 198
0315 198 199 198
0316 198 199 199
0317 198 199 199
0318 198 198 198
0319 198 198 198
0320 198 198 198
0321 198 198 198
0322 198 199 198
0323 198 198 198
0324 198 199 198
0325 198 198 198
0326 198 199 198
0327 198 199 198
0328 198 198 198
0329 198 199 198
0330 198 198 198
0331 198 198 198
0332 198 198 198
0333 198 199 197
0334 198 199 195
0335 198 198 195
0336 198 198 194
0337 198 198 194
0338 198 199 195
0339 198 198 199
0340 198 199 199
0341 198 198 198
0342 198 198 198
0343 198 198 198
0344 198 198 198
0345 198 199 199
0346 198 199 199
0347 199 199 199
0348 198 199 199
0349 199 199 199
0350 198 199 199
0351 198 199 199
0352 198 199 198
0353 198 198 198
0354 198 198 198
0355 198 199 199
0356 198 198 198
0357 198 199 199
0358 198 199 199
0359 198 199 199
0360 199 199 199
0361 198 199 198
0362 198 199 197
0363 198 198 196
0364 198 199 196
0365 198 198 196
0366 198 198 196
0367 198 199 196
0368 198 199 197
0369 198 199 199
0370 198 199 198
0371 198 199 199
0372 198 199 199
0373 198 199 198
0374 198 199 199
0375 198 199 199
0376 198 199 199
0377 198 199 199
0378 198 199 199
0379 198 199 199
0380 198 199 198
0381 198 199 198
0382 198 198 198
0383 198 198 199
0384 198 199 199
0385 198 199 199
0386 198 199 199
0387 198 198 199
0388 198 199 199
0389 198 198 198
0390 198 199 198
